chrom_ncbi chrom start start_phase end end_phase strand gene_id gene_name transcription_start transcription_end
NC_000001.11 chr1 34761254 0 34762055 0 + 127534 GJB4 34759740 34763724
NC_000001.11 chr1 33864191 0 33864752 0 + 127540 HMGB4 33860474 33864791
NC_000001.11 chr1 32936805 1 32964685 0 - 127544 RNF19B 32932497 32965266
NC_000001.11 chr1 33306765 1 33321098 0 - 127550 A3GALT2 33306765 33321098
NC_000001.11 chr1 155018543 1 155033701 0 - 127579 DCST2 155017447 155033781
NC_000001.11 chr1 224952702 0 225023869 0 + 127602 DNAH14 224929594 225399294
NC_000001.11 chr1 247451028 0 247451982 0 - 127623 OR2B11 247451028 247451982
NC_000001.11 chr1 182056303 0 182058010 0 - 127665 ZNF648 182053765 182062505
NC_000001.11 chr1 182399663 0 182400485 0 - 127670 TEDDM1 182398116 182400616
NC_000001.11 chr1 37808404 0 37809073 0 + 127687 C1orf122 37807800 37809454
NC_000017.11 chr17 50185501 0 50201513 0 - 1277 COL1A1 50184095 50201648
NC_000001.11 chr1 36418138 0 36450369 0 - 127700 OSCP1 36417905 36450485
NC_000001.11 chr1 35715631 0 35716321 0 - 127703 C1orf216 35713874 35719189
NC_000001.11 chr1 18480981 0 18483315 0 + 127707 KLHDC7A 18480929 18485999
NC_000001.11 chr1 20310601 0 20354263 0 + 127731 VWA5B1 20290906 20360221
NC_000001.11 chr1 20190561 0 20191404 0 + 127733 UBXN10 20183301 20196048
NC_000001.11 chr1 59990672 2 60072643 0 - 127795 C1orf87 59990393 60073770
NC_000007.14 chr7 94395031 0 94430393 0 + 1278 COL1A2 94394560 94431232
NC_000001.11 chr1 202134466 2 202144572 0 - 127829 ARL8A 202133403 202144743
NC_000001.11 chr1 202596756 0 202605772 0 - 127833 SYT2 202587636 202710444
NC_000001.11 chr1 204198457 0 204213906 0 - 127845 GOLT1A 204198159 204214092
NC_000001.11 chr1 162497250 0 162522550 0 + 127933 UHMK1 162497173 162529629
NC_000001.11 chr1 161722672 0 161727662 2 + 127943 FCRLB 161721543 161728143
NC_000004.12 chr4 99072416 1 99088700 0 - 128 ADH5 99070977 99088788
NC_000012.12 chr12 47973406 0 48004321 0 - 1280 COL2A1 47972964 48025286
NC_000001.11 chr1 241652484 0 241801215 0 + 128025 WDR64 241652277 241802745
NC_000001.11 chr1 231224278 1 231241141 0 - 128061 C1orf131 231223762 231241187
NC_000001.11 chr1 145936309 0 145957927 0 - 128077 LIX1L 145933423 145958019
NC_000002.12 chr2 188974489 0 189011774 0 + 1281 COL3A1 188974372 189012746
NC_000001.11 chr1 217631378 0 217862854 0 + 128153 SPATA17 217631323 217868151
NC_000001.11 chr1 236394444 0 236482649 2 + 128178 EDARADD 236394379 236484708
NC_000013.11 chr13 110150362 1 110307027 0 - 1282 COL4A1 110148957 110307157
NC_000001.11 chr1 44118907 0 44130756 2 + 128209 KLF17 44043926 44135140
NC_000001.11 chr1 43272722 0 43273382 0 + 128218 TMEM125 43269950 43274002
NC_000001.11 chr1 156339757 0 156346982 2 + 128229 TSACC 156337313 156346995
NC_000001.11 chr1 156526485 0 156572529 0 - 128239 IQGAP3 156525404 156572604
NC_000001.11 chr1 156591804 0 156594084 2 + 128240 APOA1BP 156591765 156594299
NC_000001.11 chr1 16198586 2 16209054 0 - 128272 ARHGEF19 16197855 16212671
NC_000001.11 chr1 228106759 0 228108260 0 - 128308 MRPL55 228106678 228110953
NC_000001.11 chr1 228458129 0 228458510 0 + 128312 HIST3H2BB 228458106 228458558
NC_000001.11 chr1 111118159 0 111131554 0 - 128338 DRAM2 111117331 111140216
NC_000001.11 chr1 111346652 0 111351327 0 + 128344 PIFO 111324514 111353017
NC_000001.11 chr1 111476028 0 111478123 0 + 128346 C1orf162 111467486 111478512
NC_000001.11 chr1 158398521 0 158399466 0 - 128360 OR10T2 158398521 158399466
NC_000001.11 chr1 158562650 0 158563604 0 - 128366 OR6P1 158562650 158563604
NC_000001.11 chr1 158578918 0 158579899 0 - 128367 OR10X1 158578918 158579899
NC_000001.11 chr1 158606438 0 158607380 0 + 128368 OR10Z1 158606438 158607380
NC_000001.11 chr1 158754815 0 158755847 0 + 128371 OR6K6 158754815 158755847
NC_000001.11 chr1 158765743 0 158766682 0 - 128372 OR6N1 158765743 158766682
NC_000001.11 chr1 212791921 0 212815156 0 + 128387 TATDN3 212791827 212816825
NC_000013.11 chr13 110307903 0 110512191 0 + 1284 COL4A2 110307283 110513027
NC_000020.11 chr20 63006048 0 63006774 0 - 128408 BHLHE23 63005978 63007035
NC_000020.11 chr20 63241496 1 63254450 0 - 128414 NKAIN4 63240783 63254540
NC_000020.11 chr20 37903350 0 37944253 0 + 128434 VSTM2L 37903096 37945350
NC_000020.11 chr20 44306624 1 44311148 0 - 128486 FITM2 44306556 44311249
NC_000020.11 chr20 45123845 2 45124447 0 - 128488 WFDC12 45123425 45124465
NC_000020.11 chr20 45886516 2 45887590 0 - 128497 SPATA25 45886485 45888653
NC_000002.12 chr2 227164726 0 227311870 1 + 1285 COL4A3 227164564 227314792
NC_000020.11 chr20 46541273 0 46550560 0 - 128506 OCSTAMP 46541030 46550574
NC_000020.11 chr20 52973293 0 53256563 2 + 128553 TSHZ2 52972308 53495330
NC_000002.12 chr2 227007324 0 227147483 0 - 1286 COL4A4 226967531 227164559
NC_000020.11 chr20 58150964 0 58160822 0 + 128602 C20orf85 58150926 58161130
NC_000020.11 chr20 59191019 0 59254743 0 + 128611 ZNF831 59123427 59259113
NC_000020.11 chr20 438585 1 462405 0 - 128637 TBC1D20 435476 462553
NC_000020.11 chr20 1534424 2 1557653 0 - 128646 SIRPD 1534222 1559006
NC_000020.11 chr20 2815184 0 2815775 1 + 128653 C20orf141 2814986 2815830
NC_000020.11 chr20 5302039 1 5314369 0 - 128674 PROKR2 5299873 5317547
NC_000023.11 chrX 108440125 0 108696378 1 + 1287 COL4A5 108439735 108697545
NC_000020.11 chr20 10458204 0 10623379 1 + 128710 SLX4IP 10434546 10638546
NC_000023.11 chrX 108156999 0 108439371 0 - 1288 COL4A6 108155606 108439497
NC_000020.11 chr20 23440267 0 23444878 0 + 128817 CSTL1 23439638 23461091
NC_000020.11 chr20 23564947 0 23568450 0 - 128821 CST9L 23564731 23568749
NC_000020.11 chr20 23603509 0 23605864 0 - 128822 CST9 23602409 23605973
NC_000020.11 chr20 62553657 0 62570677 0 + 128826 MIR1-1HG 62550452 62570764
NC_000020.11 chr20 31861402 0 31870337 0 - 128853 DUSP15 31861066 31870676
NC_000020.11 chr20 33031647 0 33044047 0 + 128859 BPIFB6 33030976 33044047
NC_000020.11 chr20 33217536 0 33227617 2 + 128861 BPIFA3 33217309 33227806
NC_000020.11 chr20 33662345 0 33663867 0 + 128864 C20orf144 33662285 33663915
NC_000020.11 chr20 33811468 0 33853560 2 + 128866 CHMP4B 33811303 33854367
NC_000020.11 chr20 34560865 0 34677085 0 - 128869 PIGU 34560541 34677285
NC_000020.11 chr20 35286534 1 35292304 0 - 128876 FAM83C 35285730 35292422
NC_000009.12 chr9 134642187 0 134842303 0 + 1289 COL5A1 134641785 134844843
NC_000022.11 chr22 16962732 0 17008114 0 - 128954 GAB4 16961935 17008278
NC_000022.11 chr22 19441643 0 19447799 0 - 128977 C22orf39 19440885 19448232
NC_000022.11 chr22 20036798 0 20064662 1 + 128989 TANGO2 20016999 20065926
NC_000002.12 chr2 189034069 0 189179604 0 - 1290 COL5A2 189031914 189225314
NC_000022.11 chr22 22514001 0 22515630 0 - 129025 ZNF280A 22513735 22520281
NT_187629.1 chr22_KI270875v1_alt 149658 0 151287 0 - 129025 ZNF280A 149392 155938
NC_000022.11 chr22 24806325 0 24924274 2 + 129049 SGSM1 24806220 24926846
NC_000022.11 chr22 29206038 0 29258944 2 + 129080 EMID1 29205911 29259597
NC_000021.9 chr21 45981850 0 46004013 2 + 1291 COL6A1 45981748 46005049
NC_000022.11 chr22 37831942 0 37844238 0 - 129138 ANKRD54 37830853 37848621
NC_000021.9 chr21 46111476 0 46132552 2 + 1292 COL6A2 46097605 46132849
NC_000002.12 chr2 48440953 0 48514744 0 + 129285 PPP1R21 48440768 48515392
NC_000002.12 chr2 84821916 1 84881039 0 - 129293 TRABD2A 84821649 84881975
NC_000002.12 chr2 237324773 2 237396817 0 - 1293 COL6A3 237324011 237414370
NC_000002.12 chr2 85599075 2 85601948 0 - 129303 TMEM150A 85598546 85602699
NC_000003.12 chr3 48564405 2 48595159 0 - 1294 COL7A1 48564072 48595302
NC_000002.12 chr2 183124457 0 183161131 0 + 129401 NUP35 183117489 183161684
NC_000002.12 chr2 166903482 0 167259363 1 + 129446 XIRP2 166888486 167259753
NC_000002.12 chr2 199933066 2 199955470 0 - 129450 TYW5 199928910 199955736
NC_000003.12 chr3 99790682 0 99796136 2 + 1295 COL8A1 99638595 99796733
NC_000002.12 chr2 100470488 0 100483264 1 + 129521 NMS 100470481 100483280
NC_000002.12 chr2 99284392 2 99295670 0 - 129530 LYG1 99284237 99304742
NC_000002.12 chr2 99169374 0 99180981 0 - 129531 MITD1 99161426 99181061
NC_000002.12 chr2 232014927 0 232343575 0 + 129563 DIS3L2 231961582 232343968
NC_000001.11 chr1 36097568 0 36100242 0 - 1296 COL8A2 36095235 36125770
NC_000002.12 chr2 6840569 1 6865696 0 - 129607 CMPK2 6840416 6866635
NC_000002.12 chr2 8858678 1 9003614 0 - 129642 MBOAT2 8852689 9003747
NC_000002.12 chr2 124025650 0 124914288 2 + 129684 CNTNAP5 124025286 124921201
NC_000006.12 chr6 42050541 0 42077545 1 + 129685 TAF8 42050512 42087462
NC_000006.12 chr6 70216896 2 70302924 0 - 1297 COL9A1 70215060 70303083
NC_000002.12 chr2 669579 0 677345 0 - 129787 TMEM18 667972 677439
NC_000001.11 chr1 40301181 2 40317197 0 - 1298 COL9A2 40300486 40317690
NC_000002.12 chr2 112138655 0 112187506 1 + 129804 FBLN7 112138384 112188218
NC_000002.12 chr2 241811428 0 241817048 2 + 129807 NEU4 241809064 241817413
NT_187527.1 chr2_KI270776v1_alt 23526 0 29146 2 + 129807 NEU4 21162 29511
NC_000002.12 chr2 178112546 0 178126176 1 + 129831 RBM45 178112416 178129656
NC_000002.12 chr2 54330975 0 54360562 0 + 129852 C2orf73 54330012 54383673
NC_000002.12 chr2 95594023 0 95599573 2 + 129868 TRIM43 95592017 95599771
NC_000002.12 chr2 169479553 0 169504582 0 + 129880 BBS5 169479495 169506655
NC_000002.12 chr2 169645840 0 169694327 0 - 129881 CCDC173 169645424 169694421
NC_000020.11 chr20 62817064 0 62840732 2 + 1299 COL9A3 62817061 62841159
NC_000003.12 chr3 151814162 0 151828172 0 + 13 AADAC 151814024 151828488
NC_000004.12 chr4 99204218 1 99219152 0 - 130 ADH6 99202637 99219246
NC_000006.12 chr6 116120072 2 116125492 0 - 1300 COL10A1 116118908 116218169
NC_000002.12 chr2 134838682 0 134901860 0 + 130013 ACMSD 134838347 134902076
NC_000002.12 chr2 202779532 2 202829009 0 - 130026 ICA1L 202773149 202871985
NC_000002.12 chr2 131052902 2 131082646 0 - 130074 FAM168B 131047875 131093431
NC_000007.14 chr7 141918875 0 141919820 0 + 130075 OR9A4 141873478 141986420
NC_000001.11 chr1 102878018 0 103108178 0 - 1301 COL11A1 102876466 103108576
NC_000002.12 chr2 26581362 1 26641314 0 - 130106 CIB4 26573763 26641411
NC_000002.12 chr2 79026093 0 79028276 2 + 130120 REG3G 79025685 79028504
NC_000002.12 chr2 197572007 0 197675458 0 - 130132 RFTN2 197570799 197676045
NC_000002.12 chr2 55175789 2 55222411 0 - 130162 CLHC1 55172546 55232563
NC_000006.12 chr6 33163677 0 33192240 0 - 1302 COL11A2 33162691 33193152
NT_113891.3 chr6_GL000251v2_alt 4575185 0 4603747 0 - 1302 COL11A2 4574199 4603975
NT_167245.2 chr6_GL000252v2_alt 4407176 0 4435739 0 - 1302 COL11A2 4406190 4436651
NT_167246.2 chr6_GL000253v2_alt 4583150 0 4611712 0 - 1302 COL11A2 4582164 4611940
NT_167247.2 chr6_GL000254v2_alt 4599635 0 4628196 0 - 1302 COL11A2 4598649 4628424
NT_167248.2 chr6_GL000255v2_alt 4358081 0 4386643 0 - 1302 COL11A2 4357095 4386871
NT_167249.2 chr6_GL000256v2_alt 4612323 0 NA 2 - 1302 COL11A2 4611337 4638116
NC_000002.12 chr2 43644673 0 43765598 0 + 130271 PLEKHH2 43637299 43767987
NC_000006.12 chr6 75086546 2 75202792 0 - 1303 COL12A1 75084325 75206202
NC_000002.12 chr2 223758714 0 223837450 0 - 130340 AP1S3 223755329 223837602
NC_000002.12 chr2 119302471 2 119339959 0 - 130355 C2orf76 119300441 119366826
NC_000002.12 chr2 222424602 0 222558898 0 + 130367 SGPP2 222424051 222561842
NC_000002.12 chr2 157533917 0 157628644 0 - 130399 ACVR1C 157526766 157628887
NC_000002.12 chr2 19352274 1 19353805 0 - 130497 OSR1 19351484 19358611
NC_000010.11 chr10 69802423 0 69958701 0 + 1305 COL13A1 69801862 69959148
NC_000002.12 chr2 19896986 2 19901854 0 - 130502 TTC32 19896752 19901986
NC_000002.12 chr2 169827507 0 170081843 1 + 130507 UBR3 169827469 170084131
NC_000002.12 chr2 200490099 1 200507016 0 - 130535 KCTD18 200488951 200510094
NC_000002.12 chr2 201288654 1 201351404 0 - 130540 ALS2CR12 201288270 201357398
NC_000002.12 chr2 27377544 2 27380526 0 - 130557 ZNF513 27377230 27380866
NC_000002.12 chr2 230996233 0 231002789 1 + 130560 SPATA3 230996123 231025056
NC_000002.12 chr2 149437708 0 149470850 0 + 130574 LYPD6 149329984 149474148
NC_000002.12 chr2 149130948 0 149214710 0 + 130576 LYPD6B 149038466 149215262
NC_000002.12 chr2 38666161 0 38733565 0 + 130589 GALM 38665909 38734767
NC_000009.12 chr9 98944061 0 99069886 1 + 1306 COL15A1 98943347 99070792
NC_000002.12 chr2 219544727 0 219549854 0 + 130612 TMEM198 219543662 219550595
NC_000002.12 chr2 219206987 0 219209306 0 + 130617 ZFAND2B 219206783 219209651
NC_000001.11 chr1 31652650 2 31702193 0 - 1307 COL16A1 31652246 31704167
NC_000002.12 chr2 39665974 0 39717251 2 + 130733 TMEM178A 39665497 39717963
NC_000002.12 chr2 206939599 0 206969436 2 + 130749 CPO 206879382 206971064
NC_000002.12 chr2 206738482 2 206765271 0 - 130752 MDH1B 206737762 206765549
NC_000010.11 chr10 104032234 2 104080673 0 - 1308 COL17A1 104031287 104085880
NC_000002.12 chr2 11133334 0 11144111 0 + 130813 C2orf50 11133052 11154564
NC_000002.12 chr2 11155546 0 11177828 2 + 130814 PQLC3 11155371 11178874
NC_000002.12 chr2 102762217 0 102814968 2 + 130827 TMEM182 102736907 102843838
NC_000002.12 chr2 61184725 0 61186786 2 + 130872 AHSA2 61177419 61188573
NC_000002.12 chr2 229922513 0 230010884 0 + 130888 FBXO36 229922490 230013109
NC_000002.12 chr2 241095997 0 241102273 0 - 130916 MTERF4 241074679 241102359
NC_000002.12 chr2 158172112 0 158456439 0 - 130940 CCDC148 158171355 158456824
NC_000002.12 chr2 74558715 0 74640275 0 - 130951 M1AP 74557882 74648852
NC_000004.12 chr4 99413147 1 99435269 0 - 131 ADH7 99412260 99435510
NC_000006.12 chr6 69879567 0 70207274 2 + 1310 COL19A1 69866555 70212454
NC_000003.12 chr3 131535194 0 132037609 0 - 131034 CPNE4 131533559 132285547
NC_000003.12 chr3 122359868 0 122383224 0 - 131076 CCDC58 122359588 122383281
NC_000003.12 chr3 19148719 0 19534099 0 + 131096 KCNH8 19147092 19535643
NC_000019.10 chr19 18782914 2 18791269 0 - 1311 COMP 18782772 18791305
NC_000003.12 chr3 180984639 2 180989602 0 - 131118 DNAJC19 180983708 180989774
NC_000003.12 chr3 161496807 0 161503942 2 + 131149 OTOL1 161429600 161503975
NC_000003.12 chr3 58634278 0 58655563 0 - 131177 FAM3D 58633942 58666844
NC_000022.11 chr22 19962526 0 19968736 0 + 1312 COMT 19941739 19969975
NC_000003.12 chr3 102435114 0 102477618 2 + 131368 ZPLD1 102357480 102479841
NC_000003.12 chr3 42397264 1 42407251 0 - 131375 LYZL4 42360767 42410652
NC_000003.12 chr3 42685618 0 42691993 1 + 131377 KLHL40 42685518 42692446
NC_000001.11 chr1 160290156 0 160343170 0 - 1314 COPA 160288586 160343564
NC_000003.12 chr3 32818080 0 32891811 0 + 131405 TRIM71 32818017 32892279
NC_000003.12 chr3 184337630 0 184344970 2 + 131408 FAM131A 184335928 184346275
NC_000003.12 chr3 112923676 0 112974857 0 - 131450 CD200R1 112921056 112975122
NC_000003.12 chr3 14112886 2 14124676 0 - 131474 CHCHD4 14112076 14124871
NC_000011.10 chr11 14457823 0 14498928 0 - 1315 COPB1 14457502 14499895
NC_000003.12 chr3 196198294 1 196211315 0 - 131540 ZDHHC19 196197442 196211437
NC_000003.12 chr3 97822206 0 97943314 2 + 131544 CRYBG3 97821936 97944986
NC_000003.12 chr3 98799371 2 98901326 0 - 131566 DCBLD2 98795969 98901689
NC_000003.12 chr3 194359297 0 194363370 0 - 131578 LRRC15 194355246 194369743
NC_000003.12 chr3 194686826 0 194688098 0 + 131583 FAM43A 194685892 194689037
NC_000010.11 chr10 3779538 1 3785014 0 - 1316 KLF6 3775995 3785281
NC_000003.12 chr3 127573520 1 127580146 0 - 131601 TPRA1 127573063 127595059
NC_000003.12 chr3 44861924 0 44865180 0 + 131616 TMEM42 44861722 44865667
NW_009646197.1 na 387274 0 390530 0 + 131616 TMEM42 387072 391017
NC_000003.12 chr3 126482344 0 126517719 0 - 131669 UROC1 126481164 126517773
NC_000009.12 chr9 113256148 0 113260473 1 + 1317 SLC31A1 113221527 113264492
NC_000009.12 chr9 113151074 0 113162917 1 + 1318 SLC31A2 113150957 113164142
NC_000003.12 chr3 150659891 0 150703898 0 - 131831 ERICH6 150659881 150704563
NC_000003.12 chr3 131381804 0 131383442 0 + 131870 NUDT16 131381670 131388830
NC_000003.12 chr3 130560364 0 130675397 1 + 131873 COL6A6 130517176 130678135
NC_000003.12 chr3 141778284 0 141817050 1 + 131890 GRK7 141749983 141817370
NC_000003.12 chr3 190429594 2 190449809 0 - 131920 TMEM207 190428654 190449876
NC_000003.12 chr3 15411255 2 15426511 0 - 131965 METTL6 15381062 15427547
NC_000010.11 chr10 74151278 0 74708445 2 + 132 ADK 74151184 74709303
NC_000003.12 chr3 11790504 2 11846636 0 - 132001 TAMM41 11790441 11846919
NW_003871060.2 chr3_JH636055v2_alt 141782 0 NA 2 + 132001 TAMM41 141499 171230
NC_000003.12 chr3 9902932 0 9915807 2 + 132014 IL17RE 9902061 9916402
NC_000003.12 chr3 187197515 0 187200070 1 + 132112 RTP1 187197485 187201465
NC_000003.12 chr3 51894889 0 51903272 0 - 132141 IQCF1 51894875 51903370
NC_000003.12 chr3 52290342 0 52293126 0 + 132158 GLYCTK 52287819 52295256
NC_000003.12 chr3 52247720 0 52249814 1 + 132160 PPM1M 52245724 52250599
NC_000003.12 chr3 63652687 0 63664095 0 + 132203 SNTN 63652667 63665217
NC_000003.12 chr3 63278533 0 63615481 0 + 132204 SYNPR 63200408 63616924
NC_000003.12 chr3 50279113 0 50287202 2 + 132228 LSMEM2 50277914 50288114
NC_000003.12 chr3 129543218 0 129551340 0 + 132243 H1FOO 129543213 129551467
NC_000004.12 chr4 48885483 1 48904549 0 - 132299 OCIAD2 48885379 48906828
NC_000004.12 chr4 128884476 0 129093103 0 - 132320 SCLT1 128874417 129093607
NC_000004.12 chr4 129102610 0 129111791 1 + 132321 C4orf33 129093673 129112688
NC_000004.12 chr4 121760293 1 121761883 0 - 132332 TMEM155 121758929 121766042
NC_000004.12 chr4 134199906 0 134201193 0 - 132430 PABPC4L 134196332 134201748
NC_000001.11 chr1 10450223 0 10451595 0 + 1325 CORT 10449718 10452003
NC_000010.11 chr10 30438938 0 30460836 2 + 1326 MAP3K8 30434002 30461833
NC_000004.12 chr4 122380069 0 122429739 0 + 132612 ADAD1 122378965 122429815
NC_000004.12 chr4 188002807 0 188003740 0 + 132625 ZFP42 187994053 188005050
NC_000004.12 chr4 82928101 1 82984844 0 - 132660 LIN54 82924602 83012941
NC_000004.12 chr4 52051704 0 52094887 2 + 132671 SPATA18 52051330 52097305
NC_000016.10 chr16 85801205 0 85806874 2 + 1327 COX4I1 85799566 85807002
NC_000004.12 chr4 112145580 0 112186938 0 + 132720 C4orf32 112145396 112189081
NC_000004.12 chr4 68227910 0 68245558 0 - 132724 TMPRSS11B 68226652 68245694
NC_000004.12 chr4 44703080 2 44722207 0 - 132789 GNPDA2 44682410 44726634
NC_000004.12 chr4 176184779 2 176195562 0 - 132851 SPATA4 176184573 176195671
NC_000004.12 chr4 15002673 0 15066380 0 + 132864 CPEB2 15002450 15070153
NC_000004.12 chr4 5562847 1 5708513 0 - 132884 EVC2 5534396 5709548
NC_000002.12 chr2 97646086 0 97648108 2 + 1329 COX5B 97646057 97648194
NC_000004.12 chr4 56511331 0 56523876 0 + 132946 ARL9 56505208 56523983
NC_000004.12 chr4 56338401 0 56384299 0 - 132949 AASDH 56337686 56389418
NC_000004.12 chr4 55556556 2 55592109 0 - 132954 PDCL2 55556522 55592268
NC_000004.12 chr4 86887759 2 86891520 0 - 132989 C4orf36 86876204 86897123
NC_000011.10 chr11 10305700 0 10306641 1 + 133 ADM 10304979 10307402
NC_000004.12 chr4 20704481 0 20727341 0 + 133015 PACRGL 20696286 20766315
NC_000004.12 chr4 117084283 0 117085393 0 - 133022 TRAM1L1 117083553 117085580
NC_000004.12 chr4 4188802 0 4226864 0 - 133060 OTOP1 4188802 4226894
NC_000004.12 chr4 184091176 2 184217819 0 - 133121 ENPP6 184088705 184217961
NC_000004.12 chr4 103026369 0 103067550 0 - 133308 SLC9B2 103020229 103077371
NC_000005.10 chr5 56909645 0 56916902 1 + 133383 SETD9 56909258 56925532
NC_000005.10 chr5 55851570 0 55922432 1 + 133396 IL31RA 55840333 55922854
NC_000005.10 chr5 50399272 0 50441151 0 - 133418 EMB 50396191 50443307
NC_000005.10 chr5 102373351 2 102498844 0 - 133482 SLCO6A1 102371781 102499656
NC_000005.10 chr5 173989263 0 174001215 2 + 133491 C5orf47 173989158 174006140
NC_000005.10 chr5 149730342 0 149847558 2 + 133522 PPARGC1B 149730251 149857874
NC_000005.10 chr5 40998051 2 41070852 0 - 133558 MROH2B 40998019 41071342
NC_000005.10 chr5 38258754 0 38463986 2 + 133584 EGFLAM 38258408 38465480
NC_000005.10 chr5 127523479 0 127553885 2 + 133619 PRRC1 127517608 127555089
NC_000005.10 chr5 36195143 1 36241798 0 - 133686 NADK2 36192588 36242279
NC_000005.10 chr5 35954201 1 35991240 0 - 133688 UGT3A1 35953088 36001045
NC_000005.10 chr5 35904544 0 35921120 0 - 133690 CAPSL 35904294 35938779
NC_000012.12 chr12 120438126 0 120440537 0 + 1337 COX6A1 120438089 120440742
NC_000005.10 chr5 79236650 0 79316307 2 + 133746 JMY 79236101 79327215
NC_000005.10 chr5 170234135 0 170246113 2 + 133874 C5orf58 170232551 170246231
NC_000016.10 chr16 31427773 0 31428325 0 - 1339 COX6A2 31427730 31428428
NC_000005.10 chr5 122151990 0 122153085 0 + 133923 ZNF474 122129512 122153571
NC_000005.10 chr5 205296 2 216849 0 - 133957 CCDC127 204759 218182
NC_000001.11 chr1 203128841 0 203165900 1 + 134 ADORA1 203127704 203167405
NC_000019.10 chr19 35651243 0 35658647 0 + 1340 COX6B1 35648222 35658784
NC_000005.10 chr5 180739122 0 180740058 0 - 134083 OR2Y1 180739122 180740058
NC_000005.10 chr5 6448893 0 6491349 0 + 134111 UBE2QL1 6437346 6496721
NC_000005.10 chr5 7831849 0 7851021 0 - 134121 C5orf49 7830377 7851490
NC_000005.10 chr5 10227440 0 10249873 0 - 134145 FAM173B 10225506 10250036
NC_000005.10 chr5 10280452 0 10290762 0 - 134147 CMBL 10277594 10308056
NC_000005.10 chr5 93740576 0 93741563 0 - 134187 POU5F2 93740308 93741603
NC_000005.10 chr5 34929819 0 34954714 0 + 134218 DNAJC21 34929592 34958964
NC_000005.10 chr5 149271968 0 149340030 0 + 134265 AFAP1L1 149271837 149343637
NC_000005.10 chr5 149345539 0 149351282 2 + 134266 GRPEL2 149345413 149354583
NC_000005.10 chr5 73123373 0 73131730 1 + 134285 TMEM171 73120560 73131817
NC_000005.10 chr5 73173243 0 73174165 1 + 134288 TMEM174 73173195 73175143
NC_000005.10 chr5 157743750 0 157755264 0 + 134353 LSM11 157743694 157760709
NC_000005.10 chr5 75674434 0 75712937 0 - 134359 POC5 75674197 75717488
NC_000005.10 chr5 146514853 0 146516113 0 - 134391 GPR151 146514853 146516113
NC_000005.10 chr5 111499885 2 111507433 0 - 134429 STARD4 111496032 111512536
NC_000005.10 chr5 111092288 0 111126883 0 + 134430 WDR36 111092171 111130502
NC_000005.10 chr5 163453966 0 163460050 0 - 134492 NUDCD2 163453487 163460137
NC_000008.11 chr8 99887504 0 99892021 0 - 1345 COX6C 99877994 99894014
NC_000005.10 chr5 159268915 0 159284931 1 + 134510 UBLCP1 159263080 159286040
NC_000005.10 chr5 81330393 0 81394114 0 - 134526 ACOT12 81329990 81394169
NC_000005.10 chr5 132813621 0 132815271 0 + 134548 SOWAHA 132813323 132816797
NC_000005.10 chr5 132822795 0 132826140 0 - 134549 SHROOM1 132822140 132831621
NC_000005.10 chr5 134854900 0 134857397 2 + 134553 C5orf24 134845679 134859735
NC_000019.10 chr19 36150981 2 36152407 0 - 1346 COX7A1 36150921 36152869
NC_000006.12 chr6 143428462 2 143450658 0 - 134637 ADAT2 143422831 143450750
NC_000006.12 chr6 75237929 2 75243830 0 - 1347 COX7A2 75237674 75254885
NC_000006.12 chr6 83853416 0 83857389 1 + 134701 RIPPLY2 83853265 83857515
NC_000006.12 chr6 78867576 0 78898334 1 + 134728 IRAK1BP1 78867084 78936160
NC_000006.12 chr6 122997777 0 123063761 1 + 134829 CLVS2 122995970 123072920
NC_000006.12 chr6 132538289 0 132539336 0 + 134860 TAAR9 132538287 132539336
NC_000006.12 chr6 132644983 0 132646003 0 - 134864 TAAR1 132644983 132646003
NC_000023.11 chrX 77899553 0 77905261 0 + 1349 COX7B 77899463 77905384
NC_000006.12 chr6 147204532 0 147384755 0 + 134957 STXBP5 147204357 147390476
NC_000022.11 chr22 24433404 0 24441489 1 + 135 ADORA2A 24423596 24442360
NC_000005.10 chr5 86618055 0 86619469 0 + 1350 COX7C 86617966 86620766
NC_000011.10 chr11 63974680 0 63976320 0 + 1351 COX8A 63974606 63976543
NC_000006.12 chr6 125815354 0 125928771 1 + 135112 NCOA7 125781130 125932030
NC_000006.12 chr6 125956977 0 125977676 0 + 135114 HINT3 125956714 125980244
NC_000006.12 chr6 162728235 0 163314987 2 + 135138 PACRG 162727083 163315492
NC_000006.12 chr6 70861662 0 70956429 0 - 135152 B3GAT2 70861365 70957189
NC_000006.12 chr6 70566940 0 70588724 2 + 135154 SDHAF4 70566921 70588903
NC_000017.11 chr17 14069605 0 14207213 2 + 1352 COX10 14069401 14217922
NC_000006.12 chr6 73696215 0 73823633 2 + 135228 CD109 73672181 73828317
NC_000006.12 chr6 149884487 2 149890901 0 - 135250 RAET1E 149864396 149898321
NC_000006.12 chr6 89146144 0 89162263 2 + 135293 PM20D2 89096752 89165569
NC_000006.12 chr6 89098577 1 89117887 0 - 135295 SRSF12 89095956 89118081
NC_000017.11 chr17 54961264 0 54968646 0 - 1353 COX11 54951897 54968780
NC_000006.12 chr6 49550792 0 49551527 0 + 135398 C6orf141 49550399 49560572
NC_000006.12 chr6 656107 0 656944 0 - 135458 HUS1B 655938 656964
NC_000010.11 chr10 99713413 0 99732049 0 - 1355 COX15 99696128 99732666
